temp_pin: DBIl2          temp: DBIp2
temp_pin: DBIl3          temp: DBIp3
temp_pin: DBIl4          temp: DBIp4
temp_pin: DBIl5          temp: DBIp5
temp_pin: DBIl6          temp: DBIp6
temp_pin: DBIl7          temp: DBIp7
temp_pin: DBIo0          temp: DBIo0
temp_pin: DBIo1          temp: DBIo1
temp_pin: DBIo2          temp: DBIo2
temp_pin: DBIo3          temp: DBIo3
temp_pin: DBIo4          temp: DBIo4
temp_pin: DBIo5          temp: DBIo5
temp_pin: DBIo6          temp: DBIo6
temp_pin: DBIo7          temp: DBIo7
temp_pin: DBIp0          temp: DBIl0
temp_pin: DBIp1          temp: DBIl1
temp_pin: DBIp2          temp: DBIl2
temp_pin: DBIp3          temp: DBIl3
temp_pin: DBIp4          temp: DBIl4
temp_pin: DBIp5          temp: DBIl5
temp_pin: DBIp6          temp: DBIl6
temp_pin: DBIp7          temp: DBIl7
temp_pin: DERRc0          temp: DERRc0
temp_pin: DERRc1          temp: DERRc1
temp_pin: DERRd0          temp: DERRh0
temp_pin: DERRd1          temp: DERRh1
temp_pin: DERRg0          temp: DERRg0
temp_pin: DERRg1          temp: DERRg1
temp_pin: DERRh0          temp: DERRd0
temp_pin: DERRh1          temp: DERRd1
temp_pin: DERRk0          temp: DERRk0
temp_pin: DERRk1          temp: DERRk1
temp_pin: DERRl0          temp: DERRp0
temp_pin: DERRl1          temp: DERRp1
temp_pin: DERRo0          temp: DERRo0
temp_pin: DERRo1          temp: DERRo1
temp_pin: DERRp0          temp: DERRl0
temp_pin: DERRp1          temp: DERRl1
temp_pin: DPARc0          temp: DPARc0
temp_pin: DPARc1          temp: DPARc1
temp_pin: DPARd0          temp: DPARh0
temp_pin: DPARd1          temp: DPARh1
temp_pin: DPARg0          temp: DPARg0
temp_pin: DPARg1          temp: DPARg1
temp_pin: DPARh0          temp: DPARd0
temp_pin: DPARh1          temp: DPARd1
temp_pin: DPARk0          temp: DPARk0
temp_pin: DPARk1          temp: DPARk1
temp_pin: DPARl0          temp: DPARp0
temp_pin: DPARl1          temp: DPARp1
temp_pin: DPARo0          temp: DPARo0
temp_pin: DPARo1          temp: DPARo1
temp_pin: DPARp0          temp: DPARl0
temp_pin: DPARp1          temp: DPARl1
temp_pin: DQc0          temp: DQc0
temp_pin: DQc1          temp: DQc1
temp_pin: DQc10          temp: DQc10
temp_pin: DQc11          temp: DQc11
temp_pin: DQc12          temp: DQc12
temp_pin: DQc13          temp: DQc13
temp_pin: DQc14          temp: DQc14
temp_pin: DQc15          temp: DQc15
temp_pin: DQc16          temp: DQc16
temp_pin: DQc17          temp: DQc17
temp_pin: DQc18          temp: DQc18
temp_pin: DQc19          temp: DQc19
temp_pin: DQc2          temp: DQc2
temp_pin: DQc20          temp: DQc20
temp_pin: DQc21          temp: DQc21
temp_pin: DQc22          temp: DQc22
temp_pin: DQc23          temp: DQc23
temp_pin: DQc24          temp: DQc24
temp_pin: DQc25          temp: DQc25
temp_pin: DQc26          temp: DQc26
temp_pin: DQc27          temp: DQc27
temp_pin: DQc28          temp: DQc28
temp_pin: DQc29          temp: DQc29
temp_pin: DQc3          temp: DQc3
temp_pin: DQc30          temp: DQc30
temp_pin: DQc31          temp: DQc31
temp_pin: DQc32          temp: DQc32
temp_pin: DQc33          temp: DQc33
temp_pin: DQc34          temp: DQc34
temp_pin: DQc35          temp: DQc35
temp_pin: DQc36          temp: DQc36
temp_pin: DQc37          temp: DQc37
temp_pin: DQc38          temp: DQc38
temp_pin: DQc39          temp: DQc39
temp_pin: DQc4          temp: DQc4
temp_pin: DQc40          temp: DQc40
temp_pin: DQc41          temp: DQc41
temp_pin: DQc42          temp: DQc42
temp_pin: DQc43          temp: DQc43
temp_pin: DQc44          temp: DQc44
temp_pin: DQc45          temp: DQc45
temp_pin: DQc46          temp: DQc46
temp_pin: DQc47          temp: DQc47
temp_pin: DQc48          temp: DQc48
temp_pin: DQc49          temp: DQc49
temp_pin: DQc5          temp: DQc5
temp_pin: DQc50          temp: DQc50
temp_pin: DQc51          temp: DQc51
temp_pin: DQc52          temp: DQc52
temp_pin: DQc53          temp: DQc53
temp_pin: DQc54          temp: DQc54
temp_pin: DQc55          temp: DQc55
temp_pin: DQc56          temp: DQc56
temp_pin: DQc57          temp: DQc57
temp_pin: DQc58          temp: DQc58
temp_pin: DQc59          temp: DQc59
temp_pin: DQc6          temp: DQc6
temp_pin: DQc60          temp: DQc60
temp_pin: DQc61          temp: DQc61
temp_pin: DQc62          temp: DQc62
temp_pin: DQc63          temp: DQc63
temp_pin: DQc7          temp: DQc7
temp_pin: DQc8          temp: DQc8
temp_pin: DQc9          temp: DQc9
temp_pin: DQd0          temp: DQh0
temp_pin: DQd1          temp: DQh1
temp_pin: DQd10          temp: DQh10
temp_pin: DQd11          temp: DQh11
temp_pin: DQd12          temp: DQh12
temp_pin: DQd13          temp: DQh13
temp_pin: DQd14          temp: DQh14
temp_pin: DQd15          temp: DQh15
temp_pin: DQd16          temp: DQh16
temp_pin: DQd17          temp: DQh17
temp_pin: DQd18          temp: DQh18
temp_pin: DQd19          temp: DQh19
temp_pin: DQd2          temp: DQh2
temp_pin: DQd20          temp: DQh20
temp_pin: DQd21          temp: DQh21
temp_pin: DQd22          temp: DQh22
temp_pin: DQd23          temp: DQh23
temp_pin: DQd24          temp: DQh24
temp_pin: DQd25          temp: DQh25
temp_pin: DQd26          temp: DQh26
temp_pin: DQd27          temp: DQh27
temp_pin: DQd28          temp: DQh28
temp_pin: DQd29          temp: DQh29
temp_pin: DQd3          temp: DQh3
temp_pin: DQd30          temp: DQh30
temp_pin: DQd31          temp: DQh31
temp_pin: DQd32          temp: DQh32
temp_pin: DQd33          temp: DQh33
temp_pin: DQd34          temp: DQh34
temp_pin: DQd35          temp: DQh35
temp_pin: DQd36          temp: DQh36
temp_pin: DQd37          temp: DQh37
temp_pin: DQd38          temp: DQh38
temp_pin: DQd39          temp: DQh39
temp_pin: DQd4          temp: DQh4
temp_pin: DQd40          temp: DQh40
temp_pin: DQd41          temp: DQh41
temp_pin: DQd42          temp: DQh42
temp_pin: DQd43          temp: DQh43
temp_pin: DQd44          temp: DQh44
temp_pin: DQd45          temp: DQh45
temp_pin: DQd46          temp: DQh46
temp_pin: DQd47          temp: DQh47
temp_pin: DQd48          temp: DQh48
temp_pin: DQd49          temp: DQh49
temp_pin: DQd5          temp: DQh5
temp_pin: DQd50          temp: DQh50
temp_pin: DQd51          temp: DQh51
temp_pin: DQd52          temp: DQh52
temp_pin: DQd53          temp: DQh53
temp_pin: DQd54          temp: DQh54
temp_pin: DQd55          temp: DQh55
temp_pin: DQd56          temp: DQh56
temp_pin: DQd57          temp: DQh57
temp_pin: DQd58          temp: DQh58
temp_pin: DQd59          temp: DQh59
temp_pin: DQd6          temp: DQh6
temp_pin: DQd60          temp: DQh60
temp_pin: DQd61          temp: DQh61
temp_pin: DQd62          temp: DQh62
temp_pin: DQd63          temp: DQh63
temp_pin: DQd7          temp: DQh7
temp_pin: DQd8          temp: DQh8
temp_pin: DQd9          temp: DQh9
temp_pin: DQg0          temp: DQg0
temp_pin: DQg1          temp: DQg1
temp_pin: DQg10          temp: DQg10
temp_pin: DQg11          temp: DQg11
temp_pin: DQg12          temp: DQg12
temp_pin: DQg13          temp: DQg13
temp_pin: DQg14          temp: DQg14
temp_pin: DQg15          temp: DQg15
temp_pin: DQg16          temp: DQg16
temp_pin: DQg17          temp: DQg17
temp_pin: DQg18          temp: DQg18
temp_pin: DQg19          temp: DQg19
temp_pin: DQg2          temp: DQg2
temp_pin: DQg20          temp: DQg20
temp_pin: DQg21          temp: DQg21
temp_pin: DQg22          temp: DQg22
temp_pin: DQg23          temp: DQg23
temp_pin: DQg24          temp: DQg24
temp_pin: DQg25          temp: DQg25
temp_pin: DQg26          temp: DQg26
temp_pin: DQg27          temp: DQg27
temp_pin: DQg28          temp: DQg28
temp_pin: DQg29          temp: DQg29
temp_pin: DQg3          temp: DQg3
temp_pin: DQg30          temp: DQg30
temp_pin: DQg31          temp: DQg31
temp_pin: DQg32          temp: DQg32
temp_pin: DQg33          temp: DQg33
temp_pin: DQg34          temp: DQg34
temp_pin: DQg35          temp: DQg35
temp_pin: DQg36          temp: DQg36
temp_pin: DQg37          temp: DQg37
temp_pin: DQg38          temp: DQg38
temp_pin: DQg39          temp: DQg39
temp_pin: DQg4          temp: DQg4
temp_pin: DQg40          temp: DQg40
temp_pin: DQg41          temp: DQg41
temp_pin: DQg42          temp: DQg42
temp_pin: DQg43          temp: DQg43
temp_pin: DQg44          temp: DQg44
temp_pin: DQg45          temp: DQg45
temp_pin: DQg46          temp: DQg46
temp_pin: DQg47          temp: DQg47
temp_pin: DQg48          temp: DQg48
temp_pin: DQg49          temp: DQg49
temp_pin: DQg5          temp: DQg5
temp_pin: DQg50          temp: DQg50
temp_pin: DQg51          temp: DQg51
temp_pin: DQg52          temp: DQg52
temp_pin: DQg53          temp: DQg53
temp_pin: DQg54          temp: DQg54
temp_pin: DQg55          temp: DQg55
temp_pin: DQg56          temp: DQg56
temp_pin: DQg57          temp: DQg57
temp_pin: DQg58          temp: DQg58
temp_pin: DQg59          temp: DQg59
temp_pin: DQg6          temp: DQg6
temp_pin: DQg60          temp: DQg60
temp_pin: DQg61          temp: DQg61
temp_pin: DQg62          temp: DQg62
temp_pin: DQg63          temp: DQg63
temp_pin: DQg7          temp: DQg7
temp_pin: DQg8          temp: DQg8
temp_pin: DQg9          temp: DQg9
temp_pin: DQh0          temp: DQd0
temp_pin: DQh1          temp: DQd1
temp_pin: DQh10          temp: DQd10
temp_pin: DQh11          temp: DQd11
temp_pin: DQh12          temp: DQd12
temp_pin: DQh13          temp: DQd13
temp_pin: DQh14          temp: DQd14
temp_pin: DQh15          temp: DQd15
temp_pin: DQh16          temp: DQd16
temp_pin: DQh17          temp: DQd17
temp_pin: DQh18          temp: DQd18
temp_pin: DQh19          temp: DQd19
temp_pin: DQh2          temp: DQd2
temp_pin: DQh20          temp: DQd20
temp_pin: DQh21          temp: DQd21
temp_pin: DQh22          temp: DQd22
temp_pin: DQh23          temp: DQd23
temp_pin: DQh24          temp: DQd24
temp_pin: DQh25          temp: DQd25
temp_pin: DQh26          temp: DQd26
temp_pin: DQh27          temp: DQd27
temp_pin: DQh28          temp: DQd28
temp_pin: DQh29          temp: DQd29
temp_pin: DQh3          temp: DQd3
temp_pin: DQh30          temp: DQd30
temp_pin: DQh31          temp: DQd31
temp_pin: DQh32          temp: DQd32
temp_pin: DQh33          temp: DQd33
temp_pin: DQh34          temp: DQd34
temp_pin: DQh35          temp: DQd35
temp_pin: DQh36          temp: DQd36
temp_pin: DQh37          temp: DQd37
temp_pin: DQh38          temp: DQd38
temp_pin: DQh39          temp: DQd39
temp_pin: DQh4          temp: DQd4
temp_pin: DQh40          temp: DQd40
temp_pin: DQh41          temp: DQd41
temp_pin: DQh42          temp: DQd42
temp_pin: DQh43          temp: DQd43
temp_pin: DQh44          temp: DQd44
temp_pin: DQh45          temp: DQd45
temp_pin: DQh46          temp: DQd46
temp_pin: DQh47          temp: DQd47
temp_pin: DQh48          temp: DQd48
temp_pin: DQh49          temp: DQd49
temp_pin: DQh5          temp: DQd5
temp_pin: DQh50          temp: DQd50
temp_pin: DQh51          temp: DQd51
temp_pin: DQh52          temp: DQd52
temp_pin: DQh53          temp: DQd53
temp_pin: DQh54          temp: DQd54
temp_pin: DQh55          temp: DQd55
temp_pin: DQh56          temp: DQd56
temp_pin: DQh57          temp: DQd57
temp_pin: DQh58          temp: DQd58
temp_pin: DQh59          temp: DQd59
temp_pin: DQh6          temp: DQd6
temp_pin: DQh60          temp: DQd60
temp_pin: DQh61          temp: DQd61
temp_pin: DQh62          temp: DQd62
temp_pin: DQh63          temp: DQd63
temp_pin: DQh7          temp: DQd7
temp_pin: DQh8          temp: DQd8
temp_pin: DQh9          temp: DQd9
temp_pin: DQk0          temp: DQk0
temp_pin: DQk1          temp: DQk1
temp_pin: DQk10          temp: DQk10
temp_pin: DQk11          temp: DQk11
temp_pin: DQk12          temp: DQk12
temp_pin: DQk13          temp: DQk13
temp_pin: DQk14          temp: DQk14
temp_pin: DQk15          temp: DQk15
temp_pin: DQk16          temp: DQk16
temp_pin: DQk17          temp: DQk17
temp_pin: DQk18          temp: DQk18
temp_pin: DQk19          temp: DQk19
temp_pin: DQk2          temp: DQk2
temp_pin: DQk20          temp: DQk20
temp_pin: DQk21          temp: DQk21
temp_pin: DQk22          temp: DQk22
temp_pin: DQk23          temp: DQk23
temp_pin: DQk24          temp: DQk24
temp_pin: DQk25          temp: DQk25
temp_pin: DQk26          temp: DQk26
temp_pin: DQk27          temp: DQk27
temp_pin: DQk28          temp: DQk28
temp_pin: DQk29          temp: DQk29
temp_pin: DQk3          temp: DQk3
temp_pin: DQk30          temp: DQk30
temp_pin: DQk31          temp: DQk31
temp_pin: DQk32          temp: DQk32
temp_pin: DQk33          temp: DQk33
temp_pin: DQk34          temp: DQk34
temp_pin: DQk35          temp: DQk35
temp_pin: DQk36          temp: DQk36
temp_pin: DQk37          temp: DQk37
temp_pin: DQk38          temp: DQk38
temp_pin: DQk39          temp: DQk39
temp_pin: DQk4          temp: DQk4
temp_pin: DQk40          temp: DQk40
temp_pin: DQk41          temp: DQk41
temp_pin: DQk42          temp: DQk42
temp_pin: DQk43          temp: DQk43
temp_pin: DQk44          temp: DQk44
temp_pin: DQk45          temp: DQk45
temp_pin: DQk46          temp: DQk46
temp_pin: DQk47          temp: DQk47
temp_pin: DQk48          temp: DQk48
temp_pin: DQk49          temp: DQk49
temp_pin: DQk5          temp: DQk5
temp_pin: DQk50          temp: DQk50
temp_pin: DQk51          temp: DQk51
temp_pin: DQk52          temp: DQk52
temp_pin: DQk53          temp: DQk53
temp_pin: DQk54          temp: DQk54
temp_pin: DQk55          temp: DQk55
temp_pin: DQk56          temp: DQk56
temp_pin: DQk57          temp: DQk57
temp_pin: DQk58          temp: DQk58
temp_pin: DQk59          temp: DQk59
temp_pin: DQk6          temp: DQk6
temp_pin: DQk60          temp: DQk60
temp_pin: DQk61          temp: DQk61
temp_pin: DQk62          temp: DQk62
temp_pin: DQk63          temp: DQk63
temp_pin: DQk7          temp: DQk7
temp_pin: DQk8          temp: DQk8
temp_pin: DQk9          temp: DQk9
temp_pin: DQl0          temp: DQp0
temp_pin: DQl1          temp: DQp1
temp_pin: DQl10          temp: DQp10
temp_pin: DQl11          temp: DQp11
temp_pin: DQl12          temp: DQp12
temp_pin: DQl13          temp: DQp13
temp_pin: DQl14          temp: DQp14
temp_pin: DQl15          temp: DQp15
temp_pin: DQl16          temp: DQp16
temp_pin: DQl17          temp: DQp17
temp_pin: DQl18          temp: DQp18
temp_pin: DQl19          temp: DQp19
temp_pin: DQl2          temp: DQp2
temp_pin: DQl20          temp: DQp20
temp_pin: DQl21          temp: DQp21
temp_pin: DQl22          temp: DQp22
temp_pin: DQl23          temp: DQp23
temp_pin: DQl24          temp: DQp24
temp_pin: DQl25          temp: DQp25
temp_pin: DQl26          temp: DQp26
temp_pin: DQl27          temp: DQp27
temp_pin: DQl28          temp: DQp28
temp_pin: DQl29          temp: DQp29
temp_pin: DQl3          temp: DQp3
temp_pin: DQl30          temp: DQp30
temp_pin: DQl31          temp: DQp31
temp_pin: DQl32          temp: DQp32
temp_pin: DQl33          temp: DQp33
temp_pin: DQl34          temp: DQp34
temp_pin: DQl35          temp: DQp35
temp_pin: DQl36          temp: DQp36
temp_pin: DQl37          temp: DQp37
temp_pin: DQl38          temp: DQp38
temp_pin: DQl39          temp: DQp39
temp_pin: DQl4          temp: DQp4
temp_pin: DQl40          temp: DQp40
temp_pin: DQl41          temp: DQp41
temp_pin: DQl42          temp: DQp42
temp_pin: DQl43          temp: DQp43
temp_pin: DQl44          temp: DQp44
temp_pin: DQl45          temp: DQp45
temp_pin: DQl46          temp: DQp46
temp_pin: DQl47          temp: DQp47
temp_pin: DQl48          temp: DQp48
temp_pin: DQl49          temp: DQp49
temp_pin: DQl5          temp: DQp5
temp_pin: DQl50          temp: DQp50
temp_pin: DQl51          temp: DQp51
temp_pin: DQl52          temp: DQp52
temp_pin: DQl53          temp: DQp53
temp_pin: DQl54          temp: DQp54
temp_pin: DQl55          temp: DQp55
temp_pin: DQl56          temp: DQp56
temp_pin: DQl57          temp: DQp57
temp_pin: DQl58          temp: DQp58
temp_pin: DQl59          temp: DQp59
temp_pin: DQl6          temp: DQp6
temp_pin: DQl60          temp: DQp60
temp_pin: DQl61          temp: DQp61
temp_pin: DQl62          temp: DQp62
temp_pin: DQl63          temp: DQp63
temp_pin: DQl7          temp: DQp7
temp_pin: DQl8          temp: DQp8
temp_pin: DQl9          temp: DQp9
temp_pin: DQo0          temp: DQo0
temp_pin: DQo1          temp: DQo1
temp_pin: DQo10          temp: DQo10
temp_pin: DQo11          temp: DQo11
temp_pin: DQo12          temp: DQo12
temp_pin: DQo13          temp: DQo13
temp_pin: DQo14          temp: DQo14
temp_pin: DQo15          temp: DQo15
temp_pin: DQo16          temp: DQo16
temp_pin: DQo17          temp: DQo17
temp_pin: DQo18          temp: DQo18
temp_pin: DQo19          temp: DQo19
temp_pin: DQo2          temp: DQo2
temp_pin: DQo20          temp: DQo20
temp_pin: DQo21          temp: DQo21
temp_pin: DQo22          temp: DQo22
temp_pin: DQo23          temp: DQo23
temp_pin: DQo24          temp: DQo24
temp_pin: DQo25          temp: DQo25
temp_pin: DQo26          temp: DQo26
temp_pin: DQo27          temp: DQo27
temp_pin: DQo28          temp: DQo28
temp_pin: DQo29          temp: DQo29
temp_pin: DQo3          temp: DQo3
temp_pin: DQo30          temp: DQo30
temp_pin: DQo31          temp: DQo31
temp_pin: DQo32          temp: DQo32
temp_pin: DQo33          temp: DQo33
temp_pin: DQo34          temp: DQo34
temp_pin: DQo35          temp: DQo35
temp_pin: DQo36          temp: DQo36
temp_pin: DQo37          temp: DQo37
temp_pin: DQo38          temp: DQo38
temp_pin: DQo39          temp: DQo39
temp_pin: DQo4          temp: DQo4
temp_pin: DQo40          temp: DQo40
temp_pin: DQo41          temp: DQo41
temp_pin: DQo42          temp: DQo42
temp_pin: DQo43          temp: DQo43
temp_pin: DQo44          temp: DQo44
temp_pin: DQo45          temp: DQo45
temp_pin: DQo46          temp: DQo46
temp_pin: DQo47          temp: DQo47
temp_pin: DQo48          temp: DQo48
temp_pin: DQo49          temp: DQo49
temp_pin: DQo5          temp: DQo5
temp_pin: DQo50          temp: DQo50
temp_pin: DQo51          temp: DQo51
temp_pin: DQo52          temp: DQo52
temp_pin: DQo53          temp: DQo53
temp_pin: DQo54          temp: DQo54
temp_pin: DQo55          temp: DQo55
temp_pin: DQo56          temp: DQo56
temp_pin: DQo57          temp: DQo57
temp_pin: DQo58          temp: DQo58
temp_pin: DQo59          temp: DQo59
temp_pin: DQo6          temp: DQo6
temp_pin: DQo60          temp: DQo60
temp_pin: DQo61          temp: DQo61
temp_pin: DQo62          temp: DQo62
temp_pin: DQo63          temp: DQo63
temp_pin: DQo7          temp: DQo7
temp_pin: DQo8          temp: DQo8
temp_pin: DQo9          temp: DQo9
temp_pin: DQp0          temp: DQl0
temp_pin: DQp1          temp: DQl1
temp_pin: DQp10          temp: DQl10
temp_pin: DQp11          temp: DQl11
temp_pin: DQp12          temp: DQl12
temp_pin: DQp13          temp: DQl13
temp_pin: DQp14          temp: DQl14
temp_pin: DQp15          temp: DQl15
temp_pin: DQp16          temp: DQl16
temp_pin: DQp17          temp: DQl17
temp_pin: DQp18          temp: DQl18
temp_pin: DQp19          temp: DQl19
temp_pin: DQp2          temp: DQl2
temp_pin: DQp20          temp: DQl20
temp_pin: DQp21          temp: DQl21
temp_pin: DQp22          temp: DQl22
temp_pin: DQp23          temp: DQl23
temp_pin: DQp24          temp: DQl24
temp_pin: DQp25          temp: DQl25
temp_pin: DQp26          temp: DQl26
temp_pin: DQp27          temp: DQl27
temp_pin: DQp28          temp: DQl28
temp_pin: DQp29          temp: DQl29
temp_pin: DQp3          temp: DQl3
temp_pin: DQp30          temp: DQl30
temp_pin: DQp31          temp: DQl31
temp_pin: DQp32          temp: DQl32
temp_pin: DQp33          temp: DQl33
temp_pin: DQp34          temp: DQl34
temp_pin: DQp35          temp: DQl35
temp_pin: DQp36          temp: DQl36
temp_pin: DQp37          temp: DQl37
temp_pin: DQp38          temp: DQl38
temp_pin: DQp39          temp: DQl39
temp_pin: DQp4          temp: DQl4
temp_pin: DQp40          temp: DQl40
temp_pin: DQp41          temp: DQl41
temp_pin: DQp42          temp: DQl42
temp_pin: DQp43          temp: DQl43
temp_pin: DQp44          temp: DQl44
temp_pin: DQp45          temp: DQl45
temp_pin: DQp46          temp: DQl46
temp_pin: DQp47          temp: DQl47
temp_pin: DQp48          temp: DQl48
temp_pin: DQp49          temp: DQl49
temp_pin: DQp5          temp: DQl5
temp_pin: DQp50          temp: DQl50
temp_pin: DQp51          temp: DQl51
